X,Y,L
-174200.1789711116,745025.369450062,n682
-174231.420811647,745039.4996633346,n683
-174228.34541648487,745065.3737565737,n684
-174265.5801062117,745088.162715042,n685
-174230.48833645624,745113.403077298,n686
-174217.40036592697,745087.3719964107,n687
-174298.0680259302,745108.512065928,n688
-174286.69195914752,745117.2453851778,n689
-174231.80011632375,745125.5133609687,n690
-174238.44657444797,745151.4058814248,n691
-174253.28117728393,745146.3982690504,n692
-174266.5551476595,745154.4314955709,n693
-174119.07630062403,744554.4761057199,n694
-174124.46692028924,744553.48287639,n695
-174123.48171039688,744547.5519041518,n696
-174130.8785144865,744546.0600387456,n697
-174138.90179505805,744544.5700090087,n698
-174145.79705251625,744543.2028004689,n699
-174149.66001845972,744542.4179333046,n700
-174151.6895822379,744541.9587808863,n701
-174156.01500793805,744541.0254902854,n702
-174156.50560787818,744544.6846820712,n703
